,city,description,image,link,price,bedrooms,rooms,size,type,zone
46,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/172568601.htm,580 000 €,5,6,143,Maison/Villa,
47,Vigneux-sur-Seine,"En vente ici et nulle part ailleurs, situé au quartier du Lac environnement très agréable, nous vous proposons ce pavillon in",,https://www.seloger.com/173829117/detail.htm,299 000 €,3,5,120,Maison/Villa,
48,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/171407179.htm,344 000 €,2,4,90,Maison/Villa,
49,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/170089641.htm,824 000 €,4,6,170,Maison/Villa,
50,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/169031263.htm,580 000 €,5,6,205,Maison/Villa,
51,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/169391067.htm,822 000 €,4,5,170,Maison/Villa,
52,Ablon-sur-Seine (94480),,https://v.seloger.com/s/crop/341x256/visuels/1/c/s/r/1csr9bp1ettg4gdpthoo2rmz6h1nzhhp33yi5kbgg.jpg,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/161058095.htm,380 000 €,4,5,108,Maison/Villa,
53,Ablon-sur-Seine (94480),,https://v.seloger.com/s/crop/341x256/visuels/1/x/1/z/1x1zs4viug7bp1e3tnsxbsdiif4z7k8jq6l3z8t1c.jpg,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/174188599.htm,344 000 €,2,4,73,Maison/Villa,
54,Ablon-sur-Seine (94480),,https://v.seloger.com/s/crop/341x256/visuels/1/b/o/f/1bof5w191wm4blm5rjkjgbdm6gnczwhl1cwqhq7r0.jpg,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/172369913.htm,380 000 €,4,5,112,Maison/Villa,
55,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/171255053.htm,594 000 €,5,7,202,Maison/Villa,
56,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/172723993.htm,388 500 €,3,5,89,Maison/Villa,
57,Alfortville (94140),"ALFORTVILLE NORD - PROCHE METRO LIGNE 8 - A 2 PAS DES COMMERCES - SECTEUR PRISE
 CORMONT Immobilier vous propose à la vente,",https://v.seloger.com/s/crop/341x256/visuels/0/h/y/e/0hyehdft0bpatf6px0dep8hpyekjxdx0gw74m096o.jpg,https://www.seloger.com/annonces/achat/appartement/alfortville-94/173404733.htm,315 000 €,2,3,58,Appartement,
58,Alfortville (94140),"Terasse De 33m2 - Dernier étage - Vue magnifique sur tout Paris - Proche toutes commodités
 CORMONT Immobilier vous propose ",https://v.seloger.com/s/crop/341x256/visuels/0/q/1/f/0q1fm0gh9l7o2wpssu0kvizyjrtk1tl6ck6emgmio.jpg,https://www.seloger.com/annonces/achat/appartement/alfortville-94/173711903.htm,315 500 €,1,2,55,Appartement,
59,Alfortville (94140),ALFORTVILLE - NORD Venez vite découvrir en Exclusivité à la vente ce bel appartement de 4 pièces principales de 94 m² situé à,https://v.seloger.com/s/crop/341x256/visuels/0/j/h/r/0jhrw8bwxmi43dtjhz8wmikpin19c5o1kbys1x43k.jpg,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/161781777.htm,399 500 €,3,4,94,Appartement,Carnot-Petit Pont-Alouettes
60,Alfortville (94140),"COUP DE COEUR
 Alfortville - Face Seine - Immeuble de standing en pierre de taille. Appartement très lumineux et traversant.",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/170720823.htm,315 000 €,2,3,58,Appartement,Juillet Zola
61,Alfortville (94140),"ALFORTVILLE - CENTRE-VILLE Venez vite découvrir cet appartement de 4 pièces principales, regroupant anciennement 2 appartemen",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/173309555.htm,277 500 €,2,4,70,Appartement,Juillet Zola
62,Alfortville (94140),ALFORTVILLE CENTRE-NORD Appartement en très bon état et bien agencé de 4 pièces de 85m². Copropriété bien entretenue avec esp,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/164790317.htm,472 000 €,3,4,85,Appartement,Juillet Zola
63,Alfortville (94140),ALFORTVILLE NORD Quartier 'Mairie' à 600 mètres du RER D 'Maisons-Alfort/Alfortville' et à proximité de toutes commodités (éc,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/173675477.htm,255 000 €,1,2,42,Appartement,Juillet Zola
64,Alfortville (94140),"ALFORTVILLE Centre-ville, proche RER et commerces au dernier étage d'une petite copropriété, appartement de 4 pièces familial",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/163479049.htm,420 000 €,3,4,84,Appartement,Juillet Zola
65,Alfortville (94140),"L'agence ARIK PROPERTY vous propose un appartement de type T3 sur la commune de Alfortville, à proximité immédiate de Paris, ",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/171775585.htm,340 000 €,2,3,55,Appartement,Juillet Zola
66,Créteil,"EXCLUSIVITE COBIMMO. Au coeur du récent et recherché quartier de la pointe du lac, venez découvrir ce superbe deux pièces mes",,https://www.seloger.com/173534659/detail.htm,231 000 €,1,2,45,Appartement,
67,Alfortville (94140),"ALFORTVILLE Au cœur du Quartier Mairie, à 1 min du RER D « Maisons-Alfort/Alfortville » . Appartement au 1er étage comprenant",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/173273285.htm,215 000 €,1,2,33,Appartement,Juillet Zola
68,Alfortville (94140),ALFORTVILLE - RESIDENCE SEMAPHORE Venez déposer vos valises dans ce bel et spacieux appartement de 3 pièces principales d'env,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/173051237.htm,346 000 €,2,3,70,Appartement,Carnot-Petit Pont-Alouettes
69,Alfortville (94140),"(REF : S1051942) - EXCLUSIVITE -  A 10 Minutes à Pied du RER D - Proche des Quais de Seine - 
Appartement de 3 Pièces ( (58 m",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/170978481.htm,198 000 €,2,3,58,Appartement,Carnot-Petit Pont-Alouettes
70,Alfortville (94140),Exclusivité Laforêt Alfortville - Situé à proximité du futur métro ligne 15 du Grand Paris Express station Vert de Maisons et,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/161566555.htm,369 500 €,3,4,86,Appartement,
71,Alfortville (94140),"Alfortville Nord ! Secteur métro L8, station École Vétérinaire: votre agence Century 21 LMB Alfortville vous propose de venir",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/169386011.htm,569 000 €,3,4,86,Appartement,
72,Alfortville (94140),"FIDEF IMMOBILIER vous propose ce magnifique duplex de 122.30 m² en excellent état. Il comprend un séjour spacieux de 51 m², u",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/166114169.htm,660 000 €,3,5,122,Appartement,
73,Alfortville (94140),"Rivercoach vous propose cette péniche navigante de 200 m² environ, aménagée dans un esprit Loft. Ce bateau bénéficie d'une tr",,https://www.seloger.com/annonces/achat/loft/alfortville-94/162982843.htm,420 000 €,2,3,200,Loft/Atelier,
74,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/164116803/#?cmp=INTSL_ListToDetail,245 000 €,,1,33,Studio,Juillet Zola
75,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/164275553/#?cmp=INTSL_ListToDetail,399 500 €,2,3,72,Appartement neuf,Juillet Zola
76,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/172872725/#?cmp=INTSL_ListToDetail,560 000 €,3,4,78,Appartement neuf,Juillet Zola
77,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/169853617/#?cmp=INTSL_ListToDetail,278 000 €,,1,33,Studio,Juillet Zola
78,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/151367555/#?cmp=INTSL_ListToDetail,245 000 €,,1,32,Studio,Juillet Zola
79,Maisons-Alfort,"En EXCLUSIVITÉ dans votre CABINET STIL IMMOBILIER, un Magnifique appartement de 50m2 situé à Maison-Alfort. Il se compose d'u",,https://www.seloger.com/172745381/detail.htm,279 000 €,2,3,50,Appartement,Charentonneau
80,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/151367565/#?cmp=INTSL_ListToDetail,342 000 €,2,3,57,Appartement neuf,Juillet Zola
81,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/169853663/#?cmp=INTSL_ListToDetail,514 000 €,,4,79,Appartement neuf,Juillet Zola
82,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/169853667/#?cmp=INTSL_ListToDetail,572 000 €,,5,88,Appartement neuf,Juillet Zola
83,Alfortville (94140),,,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/169853623/#?cmp=INTSL_ListToDetail,298 000 €,,2,38,Appartement neuf,Juillet Zola
84,Alfortville (94140),,https://v.seloger.com/s/crop/341x256/visuels/1/s/q/v/1sqv6gpt70vf7gv1dixw16ou7olw99ijzr1p7dqel.jpg,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/169756197/#?cmp=INTSL_ListToDetail,248 000 €,1,2,40,Appartement neuf,Juillet Zola
85,Alfortville (94140),,https://v.seloger.com/s/crop/341x256/visuels/1/s/q/v/1sqv6gpt70vf7gv1dixw16ou7olw99ijzr1p7dqel.jpg,https://www.selogerneuf.com/annonces/neuf/programme/alfortville-94/169756507/#?cmp=INTSL_ListToDetail,438 000 €,,4,74,Appartement neuf,Juillet Zola
86,Alfortville (94140),"A Alfortville Nord , a 10 minuites a pied du RER D Maisons Alfort Alfortville et a 2 minutes du centre ville , de la mairie ,",https://v.seloger.com/s/crop/341x256/visuels/0/7/a/8/07a8m3ny90relixj2zr6pt0ij0566hjo3soracjjp.jpg,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/172451257.htm,402 000 €,2,3,63,Appartement,Juillet Zola
87,Alfortville (94140),Coup de coeur de l'agence !! ALFORTVILLE NORD entre les Bords de Seine et les bords de Marne . L'agence l'Adresse vous propos,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/172860021.htm,459 000 €,2,3,71,Appartement,Juillet Zola
88,Alfortville (94140),"Rue des Pontons, en Exclusivité dans votre Agence Stéphane Plaza de Chennevières sur Marne, Résidence de 2003, proche des qua",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/172570429.htm,428 000 €,3,4,81,Appartement,Juillet Zola
89,Alfortville (94140),"Limite Maisons-Alfort, à deux pas du Métro.

Studio totalement refait à neuf de 21 m2 idéalement situé face à la Marne, à p",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/173453611.htm,144 000 €,,1,21,Studio,Juillet Zola
90,Alfortville (94140),"QUARTIER DES FLEURS. À deux pas du RER D Maisons-Alfort / Alfortville. STUDIO en rez-de-jardin, au calme et à l'abri des rega",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/172324413.htm,129 000 €,,1,19,Studio,Carnot-Petit Pont-Alouettes
91,Alfortville (94140),"Appartement 1 pièce Dans une future résidence Ce studio de 32m2 au 1er étage se compose d'une grande pièce à vivre, avec une ",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/174319369.htm,205 000 €,,1,32,Studio,Carnot-Petit Pont-Alouettes
92,Alfortville (94140),"Alfortville Nord - Au calme, dans un secteur très recherché, proche métro école vétérinaire venez découvrir ce charmant appar",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/159492687.htm,249 000 €,1,2,50,Appartement,
93,Créteil,"EXCLUSIVITE COBIMMO, Aux Sarrazins, dans une Résidence récente, sécurisée à 2 minutes à pieds du métro Pointe Du Lac et des c",,https://www.seloger.com/174158537/detail.htm,263 000 €,2,3,"66,15",Appartement,
94,Alfortville (94140),"Alfortville Nord - IDEAL INVESTISSEUR - A moins de 10 minutes du métro ligne 8, proche de toutes commodités et dans une copro",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/171525741.htm,166 000 €,,1,27,Studio,
95,Alfortville (94140),"ALFORTVILLE - CENTRE VILLE EXCLUSIVITÉ - A proximité immédiate des commerces du Centre Ville et à 5 min du RER, joli 2 pièces",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/170260479.htm,299 000 €,1,2,40,Appartement,
96,Alfortville (94140),"IDEAL INVESTISSEUR - ALFORTVILLE NORD
Bel appartement de type 2 pièces de 25m² au 2ème étage comprenant un séjour exposition",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/171835175.htm,182 000 €,1,2,25,Appartement,
97,Alfortville (94140),"En plein cœur de ville à proximité des commerces (pharmacie, boulangerie, boucherie.) et nombreux établissements scolaires de",,https://www.seloger.com/annonces/achat/appartement/alfortville-94/171270435.htm,425 000 €,2,3,64,Appartement,
98,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/169886797.htm,466 000 €,2,4,77,Appartement,Juillet Zola
99,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/170270539.htm,233 000 €,,1,26,Studio,Juillet Zola
